03221|A|Fish farming in freshwater
03222|A|Shrimp farming in freshwater
03223|A|Culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals
03224|A|Operation of hatcheries (freshwater)
03225|A|Farming of frogs
03229|A|Freshwater aquaculture n.e.c.
05100|B|Mining of hard coal
05200|B|Mining of lignite (brown coal)
06101|B|Extraction of crude petroleum oils
06102|B|Extraction of bituminous or oil shale and tar sand
06103|B|Production of crude petroleum from bituminous shale and sand
06104|B|Processes to obtain crude oils
06201|B|Production of crude gaseous hydrocarbon (natural gas)
06202|B|Extraction of condensates
06203|B|Draining and separation of liquid hydrocarbon fractions
06204|B|Gas desulphurization
06205|B|Mining of hydrocarbon liquids, obtain through liquefaction or pyrolysis
07101|B|Mining of ores valued chiefly for iron content
07102|B|Beneficiation and agglomeration of iron ores
07210|B|Mining of uranium and thorium ores
07291|B|Mining of tin ores
07292|B|Mining of copper
07293|B|Mining of bauxite (aluminium)
07294|B|Mining of ilmenite
07295|B|Mining of gold
07296|B|Mining of silver
07297|B|Mining of platinum
07298|B|Amang retreatment
07299|B|Mining of other non-ferrous metal ores n.e.c.
08101|B|Quarrying, rough trimming and sawing of monumental and building stone such as marble, granite (dimension stone), sandstone
08102|B|Quarrying, crushing and breaking of limestone
08103|B|Mining of gypsum and anhydrite
08104|B|Mining of chalk and uncalcined dolomite
08105|B|Extraction and dredging of industrial sand, sand for construction and gravel
08106|B|Breaking and crushing of stone and gravel
08107|B|Quarrying of sand
08108|B|Mining of clays, refractory clays and kaolin
08109|B|Quarrying, crushing and breaking of granite
08911|B|Mining of natural phosphates
08912|B|Mining of natural potassium salts
08913|B|Mining of native sulphur
08914|B|Extraction and preparation of pyrites and pyrrhotite, except roasting
08915|B|Mining of natural barium sulphate and carbonate (barytes and witherite)
08916|B|Mining of natural borates, natural magnesium sulphates (kieserite)
08917|B|Mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals
08918|B|Guano mining
08921|B|Peat digging
08922|B|Peat agglomeration
08923|B|Preparation of peat to improve quality or facilitate transport or storage
08931|B|Extraction of salt from underground
08932|B|Salt production by evaporation of sea water or other saline waters
08933|B|Crushing, purification and refining of salt by the producer
08991|B|Mining and quarrying of abrasive materials
08992|B|Mining and quarrying of asbestos
08993|B|Mining and quarrying of siliceous fossil meals
08994|B|Mining and quarrying of natural graphite
08995|B|Mining and quarrying of steatite (talc)
08996|B|Mining and quarrying of gemstones
08999|B|Other mining and quarrying n.e.c.
09101|B|Oil and gas extraction service activities provided on a fee or contract basis
09102|B|Oil and gas field fire fighting services
09900|B|Support activities for other mining and quarrying
10101|C|Processing and preserving of meat and production of meat products
10102|C|Processing and preserving of poultry and poultry products
10103|C|Production of hides and skins originating from slaughterhouses
10104|C|Operation of slaughterhouses engaged in killing, houses dressing or packing meat
10109|C|Processing and preserving of meat n.e.c.
10201|C|Canning of fish, crustaceans and mollusks
10202|C|Processing, curing and preserving of fish, crustacean and molluscs
10203|C|Production of fish meals for human consumption or animal feed
10204|C|Production of keropok including keropok lekor
10205|C|Processing of seaweed
10301|C|Manufacture of fruits and vegetable food products
10302|C|Manufacture of fruit and vegetable juices
10303|C|Pineapple canning
10304|C|Manufacture of jams, marmalades and table jellies
10305|C|Manufacture of nuts and nut products
10306|C|Manufacture of bean curd products
10401|C|Manufacture of crude palm oil
10402|C|Manufacture of refined palm oil
10403|C|Manufacture of palm kernel oil
10404|C|Manufacture of crude and refined vegetable oil
10405|C|Manufacture of coconut oil
10406|C|Manufacture of compound cooking fats
10407|C|Manufacture of animal oils and fats
10501|C|Manufacture of ice cream and other edible ice such as sorbet
10502|C|Manufacture of condensed, powdered and evaporated milk
10509|C|Manufacture of other dairy products n.e.c.
10611|C|Rice milling
10612|C|Provision of milling services
10613|C|Flour milling
10619|C|Manufacture of grain mill products n.e.c.
10621|C|Manufacture of starches and starch products
10622|C|Manufacture of glucose, glucose syrup, maltose, inulin
10623|C|Manufacture of sago and tapioca flour/products
10711|C|Manufacture of biscuits and cookies
10712|C|Manufacture of bread, cakes and other bakery products
10713|C|Manufacture of snack products
10714|C|Manufacture of frozen bakery products
10721|C|Manufacture of sugar
10722|C|Manufacture of sugar products
10731|C|Manufacture of cocoa products
10732|C|Manufacture of chocolate and chocolate products
10733|C|Manufacture of sugar confectionery
10741|C|Manufacture of meehoon, noodles and other related products
10742|C|Manufacture of pastas
10750|C|Manufacture of prepared meals and dishes
10791|C|Manufacture of coffee
10792|C|Manufacture of tea
10793|C|Manufacture of sauces and condiments
10794|C|Manufacture of spices and curry powder
10795|C|Manufacture of egg products
10799|C|Manufacture of other food products n.e.c.
10800|C|Manufacture of prepared animal feeds
11010|C|Distilling, rectifying and blending of spirits
11020|C|Manufacture of wines
11030|C|Manufacture of malt liquors and malt
11041|C|Manufacture of soft drinks
11042|C|Production of natural mineral water and other bottled water
12000|C|MANUFACTURE OF TOBACCO PRODUCTS
13110|C|Preparation and spinning of textile fibres
13120|C|Weaving of textiles
13131|C|Batik making
13132|C|Dyeing, bleaching, printing and finishing of yarns and fabrics
13139|C|Other finishing textiles
13910|C|Manufacture of knitted and crocheted fabrics
13921|C|Manufacture of made-up articles of any textile materials, including of knitted or crocheted fabrics
13922|C|Manufacture of made-up furnishing articles
13930|C|Manufacture of carpets and rugs
13940|C|Manufacture of cordage, rope, twine and netting
13990|C|Manufacture of other textiles n.e.c.
14101|C|Manufacture of specific wearing apparel
14102|C|Manufacture of clothings
14103|C|Custom tailoring
14109|C|Manufacture of other clothing accessories
14200|C|Manufacture of articles made of fur skins
14300|C|Manufacture of knitted and crocheted apparel
15110|C|Tanning and dressing of leather; dressing and dyeing of fur
15120|C|Manufacture of luggage, handbags and the like, saddlery and harness
15201|C|Manufacture of leather footwear
15202|C|Manufacture of plastic footwear
15203|C|Manufacture of rubber footwear
15209|C|Manufacture of other footwear n.e.c.
16100|C|Sawmilling and planning of wood
16211|C|Manufacture of veneer sheets and plywood
16212|C|Manufacture of particle board and fibreboard
16221|C|Manufacture of builders' carpentry
16222|C|Manufacture of joinery wood products
16230|C|Manufacture of wooden containers
16291|C|Manufacture of wood charcoal
16292|C|Manufacture of other products of wood, cane, articles of cork, straw and plaiting materials
17010|C|Manufacture of pulp, paper and paperboard
17020|C|Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
17091|C|Manufacture of envelopes and letter-card
17092|C|Manufacture of household and personal hygiene paper
17093|C|Manufacture of gummed or adhesive paper in strips or rolls and labels and wall paper
17094|C|Manufacture of effigies, funeral paper goods, joss paper
17099|C|Manufacture of other articles of paper and paperboard n.e.c.
18110|C|Printing
18120|C|Service activities related to printing
18200|C|Reproduction of recorded media
19100|C|Manufacture of coke oven products
19201|C|Manufacture of refined petroleum products
19202|C|Manufacture of bio-diesel products
20111|C|Manufacture of liquefied or compressed inorganic industrial or medical gases
20112|C|Manufacture of basic organic chemicals
20113|C|Manufacture of inorganic compounds
20119|C|Manufacture of other basic chemicals n.e.c.
20121|C|Manufacture of fertilizers
20129|C|Manufacture of associated nitrogen products
20131|C|Manufacture of plastic in primary forms
20132|C|Manufacture of synthetic rubber in primary forms: synthetic rubber, factice
20133|C|Manufacture of mixtures of synthetic rubber and natural rubber or rubber - like gums
20210|C|Manufacture of pesticides and other agrochemical products
20221|C|Manufacture of paints, varnishes and similar coatings ink and mastics
20222|C|Manufacture of printing ink
20231|C|Manufacture of soap and detergents, cleaning and polishing preparations
20232|C|Manufacture of perfumes and toilet preparations
20291|C|Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials
20292|C|Manufacture of writing and drawing ink
20299|C|Manufacture of other chemical products n.e.c.
20300|C|Manufacture of man-made fibres
21001|C|Manufacture of medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments
21002|C|Processing of blood
21003|C|Manufacture of medicaments
21004|C|Manufacture of chemical contraceptive products
21005|C|Manufacture of medical diagnostic preparation
21006|C|Manufacture of radioactive in-vivo diagnostic substances
21007|C|Manufacture of biotech pharmaceuticals
21009|C|Manufacture of other pharmaceuticals, medicinal chemical and botanical products n.e.c.
22111|C|Manufacture of rubber tyres for vehicles
22112|C|Manufacture of interchangeable tyre treads and retreading rubber tyres
22191|C|Manufacture of other products of natural or synthetic rubber, unvulcanized, vulcanized or hardened
22192|C|Manufacture of rubber gloves
22193|C|Rubber remilling and latex processing
22199|C|Manufacture of other rubber products n.e.c
22201|C|Manufacture of semi-manufactures of plastic products
22202|C|Manufacture of finished plastic products
22203|C|Manufacture of plastic articles for the packing of goods
22204|C|Manufacture of builders' plastics ware
22205|C|Manufacture of plastic tableware, kitchenware and toilet articles
22209|C|Manufacture of diverse plastic products n.e.c.
23101|C|Manufacture of flat glass, including wired, coloured or tinted flat glass
23102|C|Manufacture of laboratory, hygienic or pharmaceutical glassware
23109|C|Manufacture of other glass products n.e.c.
23911|C|Manufacture of refractory mortars and concretes
23912|C|Manufacture of refractory ceramic goods
23921|C|Manufacture of non-refractory ceramic
23929|C|Manufacture of other clay building materials
23930|C|Manufacture of other porcelain and ceramic products
23941|C|Manufacture of hydraulic cement
23942|C|Manufacture of lime and plaster
23951|C|Manufacture of ready-mix and dry-mix concrete and mortars
23952|C|Manufacture of precast concrete, cement or artificial stone articles for use in construction
23953|C|Manufacture of prefabricated structural components for building or civil engineering of cement, concrete or artificial stone
23959|C|Manufacture of other articles of concrete, cement and plaster n.e.c.
23960|C|Cutting, shaping and finishing of stone
23990|C|Manufacture of other non-metallic mineral products n.e.c.
24101|C|Production of pig iron and spiegeleisen in pigs, blocks or other primary forms
24102|C|Production of bars and rods of stainless steel or other alloy steel
24103|C|Manufacture of seamless tubes, by hot rolling, hot extrusion or hot drawing, or by cold drawing or cold rolling
24104|C|Manufacture of steel tube fittings
24109|C|Manufacture of other basic iron and steel products n.e.c.
24201|C|Tin smelting
24202|C|Production of aluminium from alumina
24209|C|Manufacture of other basic precious and other non-ferrous metals n.e.c.
24311|C|Casting of iron
24312|C|Casting of steel
24320|C|Casting of non-ferrous metals
25111|C|Manufacture of industrial frameworks in metal
25112|C|Manufacture of prefabricated buildings mainly of metal
25113|C|Manufacture of metal doors, windows and their frames, shutters and gates
25119|C|Manufacture of other structural metal products
25120|C|Manufacture of tanks, reservoirs and containers of metal
25130|C|Manufacture of steam generators, except central heating hot water boilers
25200|C|Manufacture of weapons and ammunition
25910|C|Forging, pressing, stamping and roll-forming of metal; powder metallurgy
25920|C|Treatment and coating of metals; machining
25930|C|Manufacture of cutlery, hand tools and general hardware
25991|C|Manufacture of tins and cans for food products, collapsible tubes and boxes
25992|C|Manufacture of metal cable, plaited bands and similar articles
25993|C|Manufacture of bolts, screws, nuts and similar threaded products
25994|C|Manufacture of metal household articles
25999|C|Manufacture of any other fabricated metal products n.e.c.
26101|C|Manufacture of diodes, transistors and similar semiconductor devices
26102|C|Manufacture electronic integrated circuits micro assemblies
26103|C|Manufacture of electrical capacitors and resistors
26104|C|Manufacture of printed circuit boards
26105|C|Manufacture of display components
26109|C|Manufacture of other components for electronic applications
26201|C|Manufacture of computers
26202|C|Manufacture of peripheral equipment
26300|C|Manufacture of communication equipment
26400|C|Manufacture of consumer electronics
26511|C|Manufacture of measuring, testing, navigating and control equipment
26512|C|Manufacture of industrial process control equipment
26520|C|Manufacture of watches and clocks and parts
26600|C|Manufacture of irradiation, electro medical and electrotherapeutic equipment
26701|C|Manufacture of optical instruments and equipment
26702|C|Manufacture of photographic equipment
26800|C|Manufacture of magnetic and optical recording media
27101|C|Manufacture of electric motors, generators and transformers
27102|C|Manufacture of electricity distribution and control apparatus
27200|C|Manufacture of batteries and accumulators
27310|C|Manufacture of fibre optic cables
27320|C|Manufacture of other electronic and electric wires and cables
